Date : 2025-08-24 15:34:10
Directory : e:\dianuo\src
Total : 89 files,  5731 codes, 259 comments, 1007 blanks, all 6997 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         51 |      3,050 |        144 |        510 |      3,704 |
| SCSS       |         36 |      2,635 |        115 |        489 |      3,239 |
| PostCSS    |          2 |         46 |          0 |          8 |         54 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                     |         89 |      5,731 |        259 |      1,007 |      6,997 |
| . (Files)                                             |          5 |         86 |          0 |         17 |        103 |
| component                                             |         14 |      1,191 |         76 |        204 |      1,471 |
| component\ButtomBar                                   |          2 |        128 |         14 |         27 |        169 |
| component\Consultancy                                 |          2 |        167 |          7 |         25 |        199 |
| component\HeadSection                                 |          2 |         67 |          3 |         14 |         84 |
| component\NavBar                                      |          2 |        398 |         24 |         70 |        492 |
| component\PageMidNav                                  |          2 |        178 |         22 |         31 |        231 |
| component\Pagination                                  |          2 |        125 |          4 |         18 |        147 |
| component\SideBar                                     |          2 |        128 |          2 |         19 |        149 |
| pages                                                 |         60 |      4,017 |        154 |        737 |      4,908 |
| pages\About                                           |         10 |        540 |         26 |        102 |        668 |
| pages\About (Files)                                   |          2 |         33 |          3 |          6 |         42 |
| pages\About\FirmCulture                               |          2 |        132 |          3 |         19 |        154 |
| pages\About\FirmHonor                                 |          2 |        137 |          6 |         25 |        168 |
| pages\About\FirmIntroduction                          |          2 |         74 |          3 |         18 |         95 |
| pages\About\FirmPartner                               |          2 |        164 |         11 |         34 |        209 |
| pages\Contact                                         |          2 |        292 |          8 |         57 |        357 |
| pages\Error                                           |          2 |        219 |          1 |         35 |        255 |
| pages\Home                                            |          6 |        441 |         25 |         90 |        556 |
| pages\Home (Files)                                    |          2 |         44 |          0 |         15 |         59 |
| pages\Home\FirmIntro                                  |          2 |        202 |          6 |         40 |        248 |
| pages\Home\SlideShow                                  |          2 |        195 |         19 |         35 |        249 |
| pages\News                                            |         11 |      1,006 |         44 |        181 |      1,231 |
| pages\News (Files)                                    |          1 |         21 |          0 |          3 |         24 |
| pages\News\firmnews                                   |          2 |        197 |         10 |         34 |        241 |
| pages\News\industrynews                               |          2 |        197 |         10 |         34 |        241 |
| pages\News\medianews                                  |          2 |        197 |         10 |         34 |        241 |
| pages\News\newsList                                   |          2 |        204 |         10 |         36 |        250 |
| pages\News\newsdetail                                 |          2 |        190 |          4 |         40 |        234 |
| pages\Product                                         |         16 |        985 |         37 |        176 |      1,198 |
| pages\Product (Files)                                 |          2 |         92 |          3 |         17 |        112 |
| pages\Product\all                                     |          2 |         75 |          3 |         15 |         93 |
| pages\Product\detail                                  |          2 |        472 |         17 |         80 |        569 |
| pages\Product\fxy                                     |          2 |         75 |          3 |         15 |         93 |
| pages\Product\hc                                      |          2 |         75 |          3 |         15 |         93 |
| pages\Product\newPro                                  |          2 |         49 |          2 |          6 |         57 |
| pages\Product\other                                   |          2 |         72 |          3 |         13 |         88 |
| pages\Product\sj                                      |          2 |         75 |          3 |         15 |         93 |
| pages\Recruit                                         |          7 |        310 |          6 |         58 |        374 |
| pages\Recruit (Files)                                 |          1 |         21 |          0 |          3 |         24 |
| pages\Recruit\jobdetail                               |          2 |        112 |          2 |         22 |        136 |
| pages\Recruit\position                                |          2 |        110 |          2 |         20 |        132 |
| pages\Recruit\requirement                             |          2 |         67 |          2 |         13 |         82 |
| pages\Service                                         |          6 |        224 |          7 |         38 |        269 |
| pages\Service (Files)                                 |          2 |         22 |          0 |          5 |         27 |
| pages\Service\aftersale                               |          2 |        112 |          2 |         19 |        133 |
| pages\Service\video                                   |          2 |         90 |          5 |         14 |        109 |
| router                                                |          1 |        189 |          2 |          2 |        193 |
| store                                                 |          9 |        248 |         27 |         47 |        322 |
| store (Files)                                         |          1 |         22 |          1 |          2 |         25 |
| store\modules                                         |          8 |        226 |         26 |         45 |        297 |
+-------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------+------------+------------+------------+------------+------------+
